,Payload (Ton),Empty Travel Distance (km),Load Travel Distance (km),Empty Speed (km/hr),Load Speed (km/hr),Empty Travel Time (hr),Empty Stop Time (hr),Load Time (hr),Load Stop Time (hr),Load Travel Time (hr),TKPH (Ton.Km/Hr)
0,153.6898711617379,3.4582572776054135,1.7310729314468525,13.853572998064266,17.722950203561748,0.0948634498572962,0.001,0.05977777623465565,0.016735797890243518,0.1370236733044539,71.8845261564529
1,142.84316920739383,3.058541561012551,2.1837255738796633,17.734273535061945,20.6126614864035,0.09394416264010053,0.020298804144421548,0.026,0.01297079791699523,0.14749603188195515,111.95913768951554
2,156.26881560783605,2.3302087714727864,1.631065807387033,19.389591498672807,20.78355457973832,0.053,0.0031866899034165286,0.058721184748334175,0.015621000340370705,0.12795545701260852,80.59937880130987
3,171.2213960071619,1.7352792331719065,2.0443088152178985,27.915882770445407,22.361972560768304,0.09776720405725545,0.02486022996923742,0.04449413913222412,0.0227178538201416,0.052,156.6453149638911
4,141.20519205297597,2.8679040300626424,0.8,22.984029326397575,15.97526776268897,0.1307177015364741,0.04322173291088462,0.058611865662965716,0.027222853240244115,0.10571563729405617,273.4068614202679
5,141.2054725013941,2.611314694525113,2.4889395323891166,15.974040786484903,22.77839357479793,0.06849880430861935,0.10104349674822614,0.05965397538532243,0.021563898646908587,0.07170594245282488,61.94123063674898
6,172.18111331449728,3.0337526912633503,2.308028270483977,22.722764452292346,11.331352255075165,0.14050296218256836,0.037336252871186366,0.065,0.01781378566777416,0.10411140372078549,252.3101542802384
7,158.31432004339,2.814814657016218,1.6100233976988334,15.189238720983356,18.53404083419285,0.12312101945361448,0.001,0.065,0.02898409416243542,0.1443201440285524,60.79915254705041
8,137.18543853945917,3.16372338629888,2.8693365551728416,24.933370354651608,19.02571321900824,0.08523876701889782,0.11770373155723382,0.065,0.014497308215587824,0.12137512841974907,53.71293228933477
9,154.47301066453545,1.8293319518660016,3.1067473273954542,19.17648316501476,22.91991074011934,0.10361258124252673,0.008960042651172825,0.065,0.02524735470693526,0.1500350894575127,232.73180579479484
10,137.28889897137753,3.389245803264102,0.935751435693265,20.575077920721373,20.79957432049409,0.15754797603687204,0.051770376509245424,0.05237068477223919,0.014695497613189772,0.12261963330426034,243.83484445313834
11,137.24940434951287,2.4463788671510005,1.6563957638830193,25.834076579143815,15.840885077010974,0.13073998221868183,0.07955950788173913,0.048482776305552595,0.020448183664087148,0.0668569180512573,236.25748360577958
12,149.33819952289102,4.027369654750474,1.6509215756314346,16.153058978395354,17.301103867163324,0.10827229330184258,0.06597857301215306,0.06109225624767502,0.01609149948167639,0.052,28.183
13,112.5223468607555,1.6997038571685836,1.5052626547541386,15.745677124156368,21.410816993148597,0.10063181717420949,0.11517987511368116,0.05898121427149534,0.016553182538777515,0.11605949789710607,94.72022691593888
14,115.73995358501239,3.7416815222651394,3.0145420401677816,18.759764495888053,20.44647818904626,0.11037488118400145,0.08134517288660174,0.0433640064489261,0.013980907860302321,0.10372650014406037,233.20389432483688
15,135.60000442550572,2.446640879675549,2.1416663036267987,24.76919364302657,18.71028109134469,0.0921353297037886,0.007627973116659061,0.054072351132124025,0.02775883224944556,0.077783844861016,149.24525535018483
16,127.90381880244739,1.7315060409566343,2.081368840362049,15.292822790358299,19.051545082814407,0.053,0.1748209195695414,0.04747355299823108,0.01113659169513172,0.053178673511853146,29.424440604544458
17,150.57297293539247,1.8725681277262611,0.8,13.091,23.13809528613705,0.17130751522657667,0.06568834048360282,0.03519100637309916,0.011078141979610334,0.08601873074192788,194.02367937963749
18,129.69413274194667,2.0102675665003824,2.84901157976847,19.25045642959466,18.923571386998088,0.11281507497518145,0.046896287535817156,0.065,0.033967948526760876,0.10438728951459761,67.98310809395643
19,121.08002817379057,2.6371477268704133,1.2499125891899878,22.96619966366996,20.415147200731056,0.12034256521879864,0.10801589826805641,0.04882798863795134,0.024822780517234654,0.13363984600601728,337.58574971125927
20,170.241212270718,2.7202274809258906,2.358122533617178,25.368969782782365,28.255019833815645,0.10620485975381583,0.06871980202615398,0.065,0.009,0.11741345677331133,310.7597667222177
21,141.348289235089,1.7969445966837163,2.5436025280783374,19.205987153473597,15.77797388473902,0.08521137917753777,0.07695755061166298,0.026,0.012477930086316771,0.16567428640387277,209.68622748764216
